Preguntas del Chat,,,
Pregunta,Categoria,Respuesta,Respuesta 2
ya viste,afirmaciones,a ver al cine,
no le sabe,afirmaciones,kyc,como no
a ver,afirmaciones,a ver al cine,
ni le sabe,afirmaciones,kyc ,pito tu y tu abuelito
Huele a obo,afirmaciones,esta,
bendiciones,bendiciones,Te las echo,sacas
empanadas,comida,me prestas,dame dos
que hambre,comide,Traete una tortilla,Traete un pan
como?,como,La del mono,Esta
f,Fail,ya sientese señora,kyc
gg ,God Game,kyc,tu k
tu madre,madre,la tuya en vinagre,me chingo a tu padre
como te llamas,nombre,"Melo, Rosa",Paty la Cabezona
cual es tu nombre,nombre,Tecla Varela Vergara,Ailejo De Mivara
,nombre,Bertha Nates,Aquiles Castro
,nombre,Aquiles Poncho Delano,Salomé Tomás Rico
,nombre,Virginia del Hoyo,Elma Canon Lamas
,nombre,Benito Camelo,Ana Bustos de la Vaca
,nombre,Jorge Nitales,José Boquitas
,nombre,La Sra. Tecla Varela Bara,Jose “Boquitas” Veloz
,nombre,Antonio T. En Sancho,Agapito Lopez Casteh
,nombre,Consuelo Yote,Paco Gerte
,nombre,Dora Melcacho,Elber Gonzales
,nombre,Elber Gudo Tomas,Susana Horia
,nombre,Salomé Teerán Tiezo,Aniceto Medallas
,nombre,Agapito Veles Ovando,"El Coyote cojo de Laredo, Texas."
que pokemon atrapaste?,pokemon,el caguamon,el chorizar
que pokemon es? ,pokemon,el caguamon,el chorizar
como esta eso?,preguntas,Duro y tiezo,
que es eso?,preguntas,Pan con queso,
lo agarras? ,preguntas,Mañana,No creo
quien?,preguntas,Te pregunto,
estas listo?,preguntas,desde chavo,
¿Cual es el pájaro que lleva tenis?,preguntas,El pájaro con suelas.,
¿Cuál es el pájaro mas caballeroso?,preguntas,El que se para pa’ que te sientes.,
De que color es el techo?,preguntas,Techo blanco,
tu papá ya está grande?,preguntas,Que papayon,
¿Tú comes parado?,preguntas,esta,
y el beso?,preguntas,esta,
Donde dejaste el saco?,preguntas,esta,
Y el recibo?,preguntas,esta,
Tienes hambre?,preguntas,Traete una tortilla,Traete una baso
Cuanto es 100 + 1?,preguntas,,
Ayer vi a tu ex primo,preguntas del bot,esta,
sabes quien es bladimir?,preguntas del bot,El que te mando a dormir,
y bladimir?,preguntas del bot,El que te puso a gemir,
conoces el queso badon?,preguntas del bot,,
conoces el queso babas?,preguntas del bot,,
conoces el queso plabas?,preguntas del bot,,
Te gusta ver gotas?,preguntas del bot,,
Te gusta ver gotear?,preguntas del bot,,
Te gusta ver gotitas?,preguntas del bot,,
Como haz estado de lo llovido?,preguntas del bot,,
de donde eres,preguntas del chat,Tejeringo el Chico,San Jasmeo
donde vives,preguntas del chat,San Casteabro,Tepiscoeloyo
de que pais eres?,preguntas del chat,Sumosoltlan el Grande,
ayer vi a tu ex primo,primos,cual exprimes,
que queso?,queso,El queso badon,El queso babas
la queso,queso,La queso badon,La queso baditas
y la queso,queso,La queso plabas,La queso babas
buenas,saludos,Las tenga,
donde es eso?,carrilla,para que quieres saber?,
apoco si le saben?,carrilla,m�s que t� si,
Qu� es eso?,carrilla,Queso,
stream feo,carrilla,fea t� cola,no le sabes
puro noob,carrilla,ni que fuera t�,
juego mejor yo,carrilla,pero al buscaminas,apoco si?
que juego es?,carrilla,pongase a estudiar,
alguien venga a mi stream,carrilla,"si si, luego",ma�ana
hola,carrilla,te apesta la cola,cara de bola
,,,
